Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
1921938726,"Sep 30, 2018, 9:04:15 PM",Gold Bar,Run,,8567,15.13,157.0,77,false,,activities/2057152045.fit.gz,86.18250274658203,,8567.0,7907.0,15133.7998046875,4.199999809265137,,613.2134399414062,,104.0999984741211,547.7000122070312,49.5,-0.0006607725517824292,,,76.0,64.90807342529297,157.0,138.31405639648438,,,1191.0,,17.0,77.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938736,"Sep 23, 2018, 8:12:02 PM","Gold Bar, Wallace Falls State Park / Gold Bar",Run,,5291,7.88,183.0,37,false,,activities/2057152094.fit.gz,86.18250274658203,,5291.0,4346.0,7879.10009765625,3.799999952316284,,231.7476043701172,,103.30000305175781,529.0999755859375,50.0,-3.723775625228882,,,70.0,55.0798225402832,183.0,131.18106079101562,,,596.0,,,37.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938753,"Sep 22, 2018, 2:49:18 AM",Monroe,Run,,3642,8.47,150.0,27,false,,activities/2057152134.fit.gz,86.18250274658203,,3642.0,3621.0,8472.7998046875,3.200000047683716,,119.44161224365234,,92.5,146.89999389648438,17.5,0.014162968844175339,,,78.0,72.87545013427734,150.0,136.05606079101562,,,612.0,,,27.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938774,"Sep 21, 2018, 4:58:47 AM",Monroe,Run,,3633,8.59,157.0,28,false,,activities/2057152137.fit.gz,86.18250274658203,,3633.0,3609.0,8594.0,3.4000000953674316,,119.39891052246094,,92.5,146.89999389648438,17.0,0.0,,,79.0,73.82710266113281,157.0,136.31781005859375,,,621.0,,15.0,28.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938798,"Sep 20, 2018, 12:50:39 AM",Afternoon Run,Run,,3444,8.48,168.0,36,false,,activities/2057152173.fit.gz,86.18250274658203,,3444.0,3444.0,8479.0,3.0999999046325684,,131.47366333007812,,92.5,152.89999389648438,17.299999237060547,0.010614459402859211,,,78.0,75.50057983398438,168.0,140.6326904296875,,,615.0,,19.0,36.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938802,"Sep 18, 2018, 12:34:15 AM","Snohomish / Snohomish, Lord Hill Regional Park",Run,,2401,4.98,156.0,20,false,,activities/2057152172.fit.gz,86.18250274658203,,2401.0,2380.0,4986.89990234375,3.4000000953674316,,132.01783752441406,,135.39999389648438,203.0,25.299999237060547,0.12633098661899567,,,75.0,66.41312408447266,156.0,137.890625,,,392.0,,16.0,20.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938837,"Sep 16, 2018, 10:23:53 PM",Monroe,Run,,4465,10.35,169.0,60,false,,activities/2057152198.fit.gz,86.18250274658203,,4465.0,4444.0,10355.5,3.0,,153.34820556640625,,92.5,155.1999969482422,20.700000762939453,0.01351938582956791,,,77.0,73.72332000732422,169.0,142.45542907714844,,,752.0,,16.0,60.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938842,"Sep 15, 2018, 10:10:05 PM",Monroe,Run,,3732,9.58,163.0,72,false,,activities/2057152212.fit.gz,86.18250274658203,,3732.0,3732.0,9582.400390625,3.299999952316284,,140.2587127685547,,92.5,152.89999389648438,14.800000190734863,0.005217899568378925,,,79.0,76.4202651977539,163.0,147.10292053222656,,,695.0,,17.0,72.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938855,"Sep 15, 2018, 1:50:59 AM",Evening Run,Run,,3187,7.26,167.0,49,false,,activities/2057152221.fit.gz,86.18250274658203,,3187.0,3187.0,7266.60009765625,2.9000000953674316,,97.49650573730469,,92.5,148.6999969482422,10.699999809265137,0.012385434471070766,,,78.0,73.25353240966797,167.0,144.36083984375,,,519.0,,17.0,49.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938867,"Sep 29, 2018, 1:41:20 AM",Kirkland / Seattle,Run,,16224,33.31,167.0,215,false,,activities/2057152076.fit.gz,86.18250274658203,,16224.0,16053.0,33310.19921875,3.0999999046325684,,468.4763488769531,,-9.399999618530273,129.39999389648438,35.400001525878906,0.07205000519752502,,,78.0,75.55738830566406,167.0,142.5499725341797,,,2293.0,,21.0,215.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
